# Title : in situ observations catalog
# Description : catalog of available in situ observations per platform.
# Project : Copernicus
# Format version : 1.0
# Date of update : 20170911094018
# product_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,provider,date_update,data_mode,parameters
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_VarnaBuoySURF.nc,43.185,43.185,27.998,27.998,2016-03-09T16:15:00Z,2017-08-31T23:45:00Z,Institute of Oceanology-BAS Varna,2017-09-07T13:56:10Z,R,DEPH TEMP PSAL FLU2 DOXY CDOM VAVH VTZA TUR4 ATMS DRYT WSPD WDIR GSPD GDIR RELH
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/profiler-glider/GL_PR_PF_1901200.nc,40.981,45.138,28.632,40.456,2009-12-08T07:07:00Z,2013-02-22T23:31:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2017-07-04T15:59:08Z,R,PRES TEMP PSAL
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/profiler-glider/GL_PR_PF_3901852.nc,41.25592,42.56524,29.34005,38.30635,2016-12-06T22:22:00Z,2017-07-31T12:34:30Z,Institute of Marine Sciences  Middle East Technical University (IMS-METU),2017-08-02T17:29:17Z,R,PRES PSAL TEMP
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/profiler-glider/GL_PR_PF_3901854.nc,41.68467,43.57444,29.40381,36.6695,2016-11-02T07:58:00Z,2017-07-27T12:12:00Z,Euro-Argo,2017-08-02T17:29:17Z,R,PRES TEMP PSAL
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/profiler-glider/GL_PR_PF_3901855.nc,41.39292,43.12804,28.42996,31.98017,2016-10-22T23:47:00Z,2017-07-31T12:04:30Z,Euro-Argo,2017-08-02T17:29:17Z,R,PRES PSAL TEMP
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/profiler-glider/GL_PR_PF_4900489.nc,41.244,44.079,29.033,39.757,2005-03-14T07:25:58Z,2009-01-18T10:44:09Z,University of Washington (Seattle),2017-07-04T20:36:31Z,R,PRES TEMP PSAL PRES_ADJUSTED TEMP_ADJUSTED PSAL_ADJUSTED
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/profiler-glider/GL_PR_PF_4900540.nc,41.656,44.226,30.02,40.865,2005-03-14T13:54:23Z,2008-10-02T08:09:32Z,University of Washington (Seattle),2017-07-04T20:43:06Z,R,PRES TEMP PSAL PRES_ADJUSTED TEMP_ADJUSTED PSAL_ADJUSTED
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/profiler-glider/GL_PR_PF_4900541.nc,41.874,43.76,30.552,36.315,2006-07-18T07:36:09Z,2009-03-01T07:27:48Z,University of Washington (Seattle),2017-07-04T20:43:06Z,R,PRES TEMP PSAL PRES_ADJUSTED TEMP_ADJUSTED PSAL_ADJUSTED
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/profiler-glider/GL_PR_PF_4900542.nc,41.162,42.774,30.534,41.023,2006-07-18T07:17:45Z,2009-12-23T13:07:12Z,University of Washington (Seattle),2017-07-04T20:43:06Z,R,PRES TEMP PSAL PRES_ADJUSTED TEMP_ADJUSTED PSAL_ADJUSTED
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/profiler-glider/GL_PR_PF_5902291.nc,41.384,41.45,29.527,30.785,2010-04-17T04:11:00Z,2010-06-03T06:54:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2017-07-05T00:57:20Z,R,PRES DOX2 PSAL TEMP
